siteID,year,month,site,lat,lon,type,source,NEE_qc,GPP,NEE,RECO,RECO_base_01,RECO_causal_01,RECO_base_02,RECO_causal_02,RECO_base_03,RECO_causal_03,RECO_base_04,RECO_causal_04,RECO_base_05,RECO_causal_05,RECO_base_06,RECO_causal_06,RECO_base_07,RECO_causal_07,RECO_base_08,RECO_causal_08,RECO_base_09,RECO_causal_09,RECO_base_10,RECO_causal_10,RECO_base_11,RECO_causal_11,RECO_base_12,RECO_causal_12,RECO_base_13,RECO_causal_13,RECO_base_14,RECO_causal_14,RECO_base_15,RECO_causal_15,RECO_base_16,RECO_causal_16,RECO_base_17,RECO_causal_17,RECO_base_18,RECO_causal_18,RECO_base_19,RECO_causal_19,RECO_base_20,RECO_causal_20
262,2002,10,CA-NS6,55.9167,-98.9644,SHR,FLUXNET,0.990591,6.061678,18.112618,24.309921,23.768105,24.605965,24.09935,23.135897,23.033688,23.51727,23.483788,25.175869,25.160791,24.912258,26.243717,25.130186,37.534767,38.153397,31.875275,36.40806,27.41417,24.407265,26.121775,25.279305,25.470211,24.334948,25.004253,24.87429,24.563494,24.573765,28.122164,27.308083,27.358255,26.784319,37.509727,35.345196,27.574255,27.728092,36.8363,37.90128,24.789257,24.293154,24.40422,25.513277
262,2002,11,CA-NS6,55.9167,-98.9644,SHR,FLUXNET,0.966667,-0.969342,10.53489,9.42633,8.689246,9.350086,16.69537,10.547031,12.173105,10.961663,10.557367,12.64551,14.485211,13.167535,11.707762,9.7992525,15.056449,15.697622,15.542404,14.528027,21.372828,16.832178,17.288479,14.895734,10.751805,9.750721,8.439159,8.936454,10.280474,10.239601,13.609641,12.296434,14.107663,12.22607,16.036106,15.008519,15.303784,15.255884,16.30839,13.85837,9.643365,9.52035,11.239386,10.45715
262,2003,4,CA-NS6,55.9167,-98.9644,SHR,FLUXNET,0.944444,6.32853,7.14684,12.94434,13.162174,12.36651,13.168917,13.490507,13.800731,13.329307,18.33486,19.955153,14.090586,12.217694,13.719305,12.103353,13.631296,13.782057,13.754979,12.879186,18.71234,17.01065,18.672638,19.510021,13.426101,15.769094,12.985128,14.067958,13.246308,13.654907,15.56794,12.55566,18.32958,14.336594,16.852715,16.456373,16.447327,19.19292,16.782082,14.487656,18.099253,19.376902,14.413856,15.840911
262,2003,5,CA-NS6,55.9167,-98.9644,SHR,FLUXNET,0.972446,43.95831,-4.886251,37.36554,36.43585,33.53355,37.53681,37.21643,36.1475,35.77711,41.983658,37.89771,35.67691,35.50919,36.445377,37.846653,37.465073,36.91869,36.74113,37.386436,42.22171,38.21162,37.81861,36.192554,36.89928,36.909126,36.64258,36.151157,36.539177,35.638626,37.077873,37.715244,37.2811,37.139214,37.655537,39.831867,35.52975,31.346262,37.79297,36.846115,37.799717,37.394814,36.626705,36.2865
262,2003,6,CA-NS6,55.9167,-98.9644,SHR,FLUXNET,0.957639,122.8143,-54.3318,66.5577,67.60897,70.84065,67.04227,69.310715,70.101974,69.38295,70.44959,75.90097,68.68269,70.0187,91.74211,90.33151,88.671486,90.73428,71.63129,68.90644,75.44726,77.763054,68.81755,72.40966,71.79736,67.44661,68.537895,71.00585,91.60848,88.17305,70.25204,69.53869,73.075836,73.42501,87.12436,90.71183,74.44368,74.2354,87.303215,88.983,67.609795,67.24013,68.5616,73.40353
262,2003,7,CA-NS6,55.9167,-98.9644,SHR,FLUXNET,0.952957,128.01946,-44.65519,81.50272,82.654816,83.476776,81.629585,82.35862,87.01048,85.348274,85.1952,86.635025,82.492744,82.27256,89.7858,84.58585,82.87457,82.24025,113.78741,114.21174,86.94056,84.74158,88.08698,85.7982,85.422,81.30451,105.38129,101.32725,87.74698,85.69279,86.51717,86.238945,90.60439,88.607605,88.50548,88.324615,87.87514,84.334816,95.53193,89.32509,83.703835,81.9771,84.91297,85.38317
262,2003,8,CA-NS6,55.9167,-98.9644,SHR,FLUXNET,0.973118,99.34136,3.831569,102.83785,88.20549,90.00279,102.68674,101.55563,99.96392,98.568726,99.239105,93.29216,94.46323,90.60586,98.87391,100.42632,100.465485,101.22066,117.3653,115.48695,93.454445,94.04439,98.8196,97.7,98.155014,102.261604,103.125694,102.24568,100.280914,99.95852,94.470375,97.33922,94.99949,95.65921,91.155365,91.020645,94.3405,89.51988,94.13191,93.39546,94.80083,91.757286,100.783005,96.70381
262,2003,9,CA-NS6,55.9167,-98.9644,SHR,FLUXNET,0.977778,39.7305,15.91956,55.455,55.916565,57.549667,66.4296,62.980568,56.093575,55.388245,55.110867,57.707245,56.109108,56.658226,57.617603,58.162987,55.95591,55.401714,57.189686,56.325047,56.303936,56.362137,56.155056,55.831932,56.294712,55.86899,57.507313,57.305496,55.700382,55.37397,57.84829,58.09957,62.734337,63.052677,56.238827,57.635536,60.6248,59.67498,55.9157,56.489532,62.325512,65.091324,56.232685,56.94404
262,2003,10,CA-NS6,55.9167,-98.9644,SHR,FLUXNET,0.980511,8.162703,21.711656,29.422627,29.113405,29.212374,29.489313,30.321339,31.07123,34.748814,29.04735,29.540508,29.236486,28.722256,29.908497,28.886196,29.029476,29.030893,29.653223,28.538052,30.189035,33.063747,27.946892,26.808212,28.669453,28.527739,28.514257,28.215145,29.250643,28.303368,31.100048,30.468079,30.076454,30.002144,34.392822,31.334816,31.004408,32.441402,32.27212,31.976812,29.307003,28.96848,31.056067,31.969427
262,2004,4,CA-NS6,55.9167,-98.9644,SHR,FLUXNET,0.970139,1.287063,11.47026,12.67224,12.103751,10.751043,12.516172,11.558415,11.307075,11.868962,12.366119,13.563795,11.084395,10.445607,8.19643,8.9424305,12.144282,12.232651,13.021793,13.297626,17.61749,15.376808,14.817836,14.76046,11.131479,12.265762,11.020251,10.543698,11.172043,11.110862,12.795504,11.731389,14.88301,13.825431,15.333979,14.7521515,14.25268,15.152728,16.072718,14.070304,12.391835,12.279724,12.4958,12.244173
